A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
11560.8674863731,2906.809570800372,-6122.777583999441,8668.758777604342,-2582.8816676079555,-6342.507626946698,-11185.11400403161,3372.264003085739,2855.5167752923494,-7172.894991747852,10212.574263241337,1588.5205261600709
10205.472208301759,1783.0448925689223,-5670.252475454431,6916.17158737227,184.54152528560806,-4445.883101386624,-11613.164059860008,5966.451753156173,3798.09771394149,-5981.002718159789,7777.32129976405,-1963.330089211319
7662.794898688128,-190.97148801894028,-505.55269178844577,5860.110266394852,4937.583556581539,-54.909993133374265,-19344.078469076132,8261.713954043651,4607.93033121923,-4662.74600364378,5070.805826343569,-2479.5546226366337
10105.737873432505,12.422864343072503,-3878.8041968093758,2026.1988263412607,4199.85413076631,-1653.2224082483233,-13956.655292931484,3647.345502384197,1358.2224045111182,-5755.1910694802655,12252.261326948965,-8395.20620252468
14571.848491606634,-2787.905395827837,-1565.3081161849977,-3455.1033031482643,1608.7967070593568,-5176.117825570851,-12025.304807132581,-373.6426405956631,4090.1103472252407,-5640.724123911472,9588.163172827415,-10361.83539984879
9259.641614357159,-1541.0703921870531,-1025.2231466689966,1334.8542074689292,2712.981132846097,777.7180986737654,-16967.381284579336,3125.5266195037448,5883.256821818748,-5319.392487328005,6962.8105278198755,-2853.0280934858347
11118.275928749425,-324.848574017063,-788.7232423035409,2450.598102108517,3560.861119783315,-1690.2083010036374,-22121.691996335703,5545.4300011802025,9201.357590541984,-2511.003603735831,10073.913561633848,-2485.895821736292
10443.209604814534,-364.5851054065402,-4540.318509214286,3705.0098087589517,1647.8858053746396,-1846.184874637771,-12992.827095704068,2042.1441346953468,6220.072913002033,-3811.1367166453106,12902.25193414337,-5772.805624209999
7779.4717878119345,3569.7058662515497,-1295.6092113483614,3677.7279641556925,-1634.0563082223077,-3283.8321670401533,-12208.832810148073,1363.2791146260156,6833.337666100411,-5622.239364321725,16005.716410016525,-5203.043472815374
13406.790359511937,500.4483187801806,-836.3318599431275,6214.674020412511,-3572.800088851315,-4167.831002344465,-10613.4489763878,4011.851728120171,1679.7387137128774,-7801.85463798924,20464.33392861008,-5119.793599889879
12846.475249666631,1972.9429394109009,-2812.5727244164045,3499.6337945999276,-3808.162109858034,-3574.4164804085844,-11957.388004835799,3577.8164306197573,-381.1316394939658,-8389.035364739833,20613.962019875293,-4938.343304427935
10094.980165741465,1207.7029210253436,-2089.628433312269,3087.3296805140503,2262.6683135646963,407.72541564538113,-14111.415121877055,7572.282873704233,-2598.7732375697947,-8261.603888877691,14304.800833356527,-9091.000255140778
11250.275243608605,-422.1197445576734,-3911.8392637303023,2384.8575464308337,1219.4176868513157,669.7870156803564,-12726.307199839172,8633.203161669917,-3498.1718113160123,-8410.539162840707,12920.47481306443,-9277.413144449607
12172.274362739161,-750.4963434365094,-1668.2697775015163,5091.068626579108,-3215.67789876359,448.38241799721493,-12612.877111171014,8638.682661244751,-5417.465970212439,-6558.303278018363,11092.44389413695,-9318.816677430512
10226.897229526207,-2750.4052837384106,-1758.340556205669,4961.919301732982,-10270.047618191737,-5211.902153062881,-16329.481056735558,8077.697527966964,-5550.723409245167,-10865.14828675856,7729.065480207461,-7371.014995779223
12635.06552975929,-1842.8064394785574,-3929.672059962022,2628.439127345398,-10721.321683203218,-3256.2735210906103,-15954.899290948419,4742.915118620327,-1241.1265069367773,-10210.254831216133,14253.662060732371,-4259.323604965969
