Sample	posterior	likelihood	prior	treeLikelihood.1	treeLikelihood.2	treeLikelihood.3	treeLikelihood.4	treeLikelihood.5	treeLikelihood.6	treeLikelihood.7	treeLikelihood.8	treeLikelihood.9	treeLikelihood.10	treeLikelihood.11	treeLikelihood.12	treeLikelihood.13	treeHeight.t:alignment	treeLength.t:alignment	insertRates.1	insertRates.2	insertRates.3	insertRates.4	insertRates.5	insertRates.6	insertRates.7	insertRates.8	insertRates.9	insertRates.10	insertRates.11	insertRates.12	insertRates.13	insertRates.14	insertRates.15	insertRates.16	insertRates.17	insertRates.18	insertRates.19	birthRate	samplingProportion	deathRate	clockRate_1	clockRate_2	clockRate_3	clockRate_4	clockRate_5	clockRate_6	clockRate_7	clockRate_8	clockRate_9	clockRate_10	clockRate_11	clockRate_12	clockRate_13	
0	-10143.007942253449	-9954.377288885664	-188.63065336778482	-846.278619601493	-760.1780685076412	-803.6295541214838	-784.6648735555606	-817.6962144201007	-866.9378587010958	-787.6156141630945	-815.018219984807	-757.9556365386462	-918.137587637436	-821.449246239728	-643.4450903692745	-331.3707050453034	24.842558800084632	1950.2736177079591	0.1579231000071807	0.13615529871889107	0.12336717314140039	0.1243135280274075	0.07551920192969884	0.0963964219584072	0.05660003243731594	0.04454702754770715	0.046389071255221674	0.0459676190888561	0.03708228950782386	0.024812644254609266	0.00473653098963333	0.0038442842502161593	0.0045833520414751095	0.005945696129704088	0.007097138625359064	0.0021455698909878347	0.002574020198105124	0.5409852831532812	8.0E-5	0.058325301259620134	0.1352010444015943	0.13623947539367806	0.14948485947066856	0.13361839366284733	0.15034790253024505	0.14821643358735614	0.1243738229204534	0.18095979845698215	0.15683108281548222	0.168390003019436	0.15336589615375168	0.17922001473144653	0.22739929983811266	
1000000	-10130.81275220015	-9939.577755849126	-191.2349963510242	-843.9929244368088	-755.5511448753304	-805.8902425283908	-772.4837067667919	-827.5748345865071	-860.3461625184971	-777.0468192784906	-825.2137832248821	-757.296491800859	-909.9125536247667	-827.0280795272378	-645.8761677261607	-331.3648449544029	24.833355698299805	1940.7162417777865	0.16755292244762918	0.14130443532203338	0.12280346882230675	0.13499652192645326	0.07407559528997257	0.08517503043785817	0.059172991036164545	0.04560158236398254	0.05161819294477626	0.044706164647571794	0.032307468998802144	0.018126210323211232	0.004501581609255	0.005883712948427775	0.0021283274321352717	0.004595129232687192	0.004432394030347721	6.889034280205349E-4	3.293667583651411E-4	0.5150746509139967	8.0E-5	0.03175376771555885	0.12898337527328552	0.12021072695503628	0.12899051944713558	0.13228249639010062	0.15060146334674002	0.1449318547986341	0.12946956154564637	0.16940062220582985	0.16969167764072796	0.15188571766661024	0.1453363923644641	0.15430374850861692	0.25031106439376777	
2000000	-10156.00083380329	-9958.319651169651	-197.6811826336379	-853.1921134675903	-761.6759620833959	-799.6036550799049	-771.8306628136128	-843.0377514548326	-868.050418671797	-794.1211116309621	-819.8908155243029	-762.2679228619271	-900.0177335822534	-805.9278710171692	-643.8370853539175	-334.8665476279857	24.718404516725975	1999.4071037600825	0.15978967316246637	0.1358406907035149	0.13191136340271378	0.12887926412560669	0.07898884039809304	0.0831531859959198	0.06690862592203078	0.051836185994249856	0.04593379432401375	0.04128574821762432	0.03205300841015765	0.02177870484687211	0.002879443576319511	0.005431782085244372	0.0020216851657328984	0.004119697694027195	0.004447959973685579	0.0017523805964192326	9.879654053086056E-4	0.6199956823521883	8.0E-5	0.1533829894997969	0.15166792304169946	0.1352213067681028	0.12942839293768224	0.1257797276797148	0.14497196074778473	0.13423718327319964	0.13580890506754428	0.18244792489206596	0.17938831092369178	0.16909641005374276	0.12941313907713198	0.12975427310456364	0.27028505840523076	
3000000	-10144.355533780572	-9955.123683090585	-189.23185068998666	-852.1529669883208	-764.5582940314625	-797.4890355464829	-769.2738301387634	-835.1446180031362	-864.2655647810313	-779.2573252070249	-827.4351332953408	-760.0919779528989	-901.5311371257834	-822.1055152798065	-645.19061450585	-336.6276702346834	24.94717653622682	2019.196177854375	0.1502106222177977	0.13875938024791434	0.13185269305087774	0.13371030004553816	0.07549919160500157	0.09312515634491102	0.06390260469563332	0.05676462853623598	0.049871679987775454	0.033310439338183236	0.0313246564403557	0.01714728982936001	0.006350767809166516	0.0045594171982814655	0.0037943074117031965	0.004555248676997479	0.0027085862007097247	7.938861507996448E-4	0.0017591442127582332	0.5002494488913876	8.0E-5	0.04231557324288828	0.14172785497666673	0.11709503244164406	0.12733433925068047	0.14632663589011924	0.1427473085823079	0.14466236380456068	0.14334351609803317	0.15341559970692334	0.16596656751254332	0.1562405643960216	0.14630932556774914	0.15636131519574092	0.2669953220317621	
4000000	-10144.617410235433	-9945.959568073167	-198.65784216226535	-847.7623369702018	-763.9987183307687	-805.3368945328625	-772.6731375981038	-818.8140419024018	-862.883428040388	-778.1447107494536	-810.6408636530952	-762.9194891096223	-904.9629048056945	-816.777666179333	-651.4956208376313	-349.5497553636129	24.77947422980454	1981.60066382152	0.16521112930724013	0.14374000696291847	0.1322157108874295	0.11965346281435442	0.0808985866822649	0.08762176985081589	0.05831960486485234	0.04633393491174863	0.048416887344357354	0.036363022528269597	0.03139432587717639	0.02198411389661789	0.0035577595543773164	0.005308038371557222	0.005709869387741824	0.005825719532700237	0.003447619157238264	0.002290650590368562	0.001707787477971535	0.6139382443058907	8.0E-5	0.1341748717171656	0.1408975284040076	0.11074686668308134	0.1374954890774171	0.13163591360376883	0.13360250885110048	0.1385591527832205	0.1446395619880512	0.16709635333996042	0.15820454464241343	0.1587779687288925	0.1299406851606166	0.18484138229316932	0.19982591386623022	
5000000	-10113.323337959788	-9919.377949478636	-193.94538848115178	-844.0557904791667	-748.0343446051169	-798.8136929536801	-765.6641197290248	-825.8241510136244	-865.8456511423789	-789.1677838189611	-813.4671009518134	-760.2548745002065	-909.8682748036623	-817.4698245375595	-642.2486226632273	-338.663718280215	24.61436693843928	1980.7969469936966	0.15910536225241245	0.1409656192187879	0.13351437016415685	0.12472527878755602	0.08093849350654204	0.0886444266723171	0.06560302638385453	0.04883460945384475	0.0446212900391499	0.03881471939152962	0.029480896230591976	0.020956405295017265	0.005041114863386478	0.0032014660885355856	0.002656694509054567	0.004523855497692834	0.004706209265005885	0.0016498457890610624	0.0020163165915036605	0.6051824400489096	8.0E-5	0.13214211457423108	0.13676380105231412	0.1200017988774913	0.1342602332629952	0.13962757404411746	0.15503648472567927	0.12985772009283586	0.10825437903968986	0.15871073980891237	0.16783731307434335	0.16868052235596823	0.13540367707184478	0.16893399352023047	0.2975708026754395	
6000000	-10144.362912462326	-9947.068530060955	-197.2943824013709	-856.1334453845973	-758.2611199320156	-794.4008653318684	-772.6686287798768	-832.0588919269233	-863.7191560492788	-785.4068309187086	-817.0588532868036	-765.4460426151273	-907.1193246443927	-815.5623255476587	-640.4140187188575	-338.8190269248475	24.0592740807259	1914.317260654292	0.1554840124684779	0.14666970131660328	0.13758323946429116	0.12436081896069422	0.0661205073565154	0.09307985992444785	0.05695497894010816	0.0487937922979556	0.04648595696296399	0.04163350984362038	0.034919032167266675	0.02190311350788158	0.00451165028675477	0.006636874418056096	0.003162286729283412	0.004118383798630159	0.005453993329709738	0.0015423983459854173	5.858898807546995E-4	0.5765661078042756	8.0E-5	0.09882332156392173	0.1462239246091841	0.12674740740743723	0.12173670401517911	0.12910340960457753	0.14329168428488545	0.1524840039399485	0.11476062287980891	0.15984290113620075	0.17969093752859977	0.15742454843684772	0.1510114122634074	0.16641488289077103	0.26966387491033084	
7000000	-10142.970197283888	-9948.754824178544	-194.21537310534495	-843.9832083196919	-756.0481599390146	-796.9931117446879	-776.934448888245	-835.0918616391874	-864.4373753257324	-780.0671129937352	-815.9732758439798	-767.8861011636895	-918.2514460163029	-817.0584170830851	-640.1061416600653	-335.9241635611268	24.73790190918739	1964.2742065151742	0.1444813202285441	0.14249669487349056	0.13954998152973405	0.12313071456732558	0.08069857287687336	0.0875721392964621	0.06473285799306529	0.05430458002124317	0.04695012030363851	0.038425559601381845	0.027335499481170353	0.024832658865496123	0.006179300533558761	0.006139366982597306	0.001975149356220172	0.002713603304623665	0.0035910304528197897	0.0025319475978589317	0.0023589021338967877	0.5208135728817725	8.0E-5	0.03451665475029315	0.14492080984790315	0.12245666625307612	0.12938991591790558	0.14364478132418096	0.14496913729760896	0.1546424429630046	0.12369234387236715	0.16758085323651745	0.17016554517931287	0.1540912371156586	0.13661374223552913	0.165864009457138	0.2412711800488207	
8000000	-10162.382402615674	-9966.483978584693	-195.8984240309813	-847.6286035958772	-760.5980171815355	-811.6120822065839	-769.480868825519	-836.2522521996543	-864.1171082723387	-787.7138144005994	-819.7560017851133	-760.8493015279985	-910.3662978996647	-824.341060672705	-643.597490336112	-330.17107968099106	24.6164035032625	1962.5748330564788	0.16280121592130808	0.14054414767789083	0.1339682549738891	0.13115165465069564	0.07954814597337946	0.08142936396564418	0.06712682092196019	0.04678587014025463	0.04370495848741641	0.04145387880022637	0.029725835940183395	0.019966975486405227	0.00399679166215368	0.002578549918477188	0.0026321966272994913	0.004073545298946725	0.004125212416154892	0.0024962063823663425	0.0018903747553486606	0.5148323472660638	8.0E-5	0.03662141351980981	0.1417118163944341	0.1388676793854337	0.1398268501876751	0.11864311876724967	0.13490941211684518	0.16075556802825594	0.1467865534820932	0.16218907808596014	0.18081602137633498	0.17633071288507327	0.1320396533417874	0.16000364509583262	0.30864116433855926	
9000000	-10157.558225669896	-9961.783702336492	-195.77452333340509	-839.8698577147916	-753.6645174364455	-805.9009759863045	-772.7914362169078	-839.7890843656475	-868.9555689319852	-793.2966349560845	-812.0379384574088	-756.5353030847683	-900.1581227003866	-820.8819079256941	-656.8622478424292	-341.0401067176383	24.954758194912614	1972.8162298957475	0.16580233166002703	0.1347993556113574	0.13517586110884963	0.11050127844710579	0.0762830401969732	0.07547380147103303	0.06944865658982027	0.04937634010429106	0.05779701913660701	0.04680113117218688	0.03151085350879414	0.019977831133244382	0.005414006000341128	0.002068684213058309	0.0060427853984854965	0.004162305902430877	0.00444473483176158	6.497192229768876E-4	0.004270264290656355	0.6056467035107296	8.0E-5	0.13413581302542288	0.14572965453107464	0.13477083057724257	0.13209648496264614	0.1302961862112529	0.1405532444633393	0.1531457097308995	0.14205976456820743	0.17238323317647483	0.17549004232249252	0.16528729624142324	0.13746992352802953	0.16861393323269427	0.2151789103271521	
